studentNum,firstName,lastName,email,addressStreet,addressCity,addressProvince,TA,status,course
1,Foster,Thorburn,fthorburn0@mySeneca.ca,8 Arapahoe Park,Toronto,ON,TRUE,Full Time,3
2,Emmy,Trehearne,etrehearne1@mySeneca.ca,66965 Shelley Circle,Toronto,ON,TRUE,Full Time,2
3,Zonnya,Laytham,zlaytham2@mySeneca.ca,24665 Scoville Parkway,Toronto,ON,TRUE,Full Time,2
4,Asia,Bollon,abollon3@mySeneca.ca,0464 Mitchell Road,Toronto,ON,TRUE,Full Time,4
5,Ysabel,Collyns,ycollyns4@mySeneca.ca,529 Grim Lane,Toronto,ON,TRUE,Full Time,6
6,Tremain,Cassy,tcassy5@mySeneca.ca,068 Bluestem Center,Toronto,ON,TRUE,Full Time,7
7,Jess,Jago,jjago6@mySeneca.ca,0299 Truax Lane,Toronto,ON,TRUE,Full Time,6
8,Rodi,Tant,rtant7@mySeneca.ca,7 Clove Circle,Toronto,ON,TRUE,Full Time,5
9,Henri,Rikard,hrikard8@mySeneca.ca,267 Ryan Trail,Toronto,ON,TRUE,Full Time,1
10,Beatrisa,Wanne,bwanne9@mySeneca.ca,9 Lotheville Trail,Toronto,ON,TRUE,Full Time,3
11,Lewes,Tregidgo,ltregidgoa@mySeneca.ca,122 Acker Court,Toronto,ON,TRUE,Full Time,4
12,Vilma,Chrichton,vchrichtonb@mySeneca.ca,5 Longview Park,Toronto,ON,TRUE,Full Time,5
13,Penelopa,Grolmann,pgrolmannc@mySeneca.ca,823 Bunker Hill Terrace,Toronto,ON,TRUE,Full Time,3
14,Brianne,Laslett,blaslettd@mySeneca.ca,04160 Upham Court,Toronto,ON,TRUE,Full Time,3
15,Elie,Caddens,ecaddense@mySeneca.ca,1 Summit Alley,Toronto,ON,TRUE,Full Time,7
16,Aileen,Harbisher,aharbisherf@mySeneca.ca,6227 Glacier Hill Street,Toronto,ON,TRUE,Full Time,6
17,Beverie,Garnsworthy,bgarnsworthyg@mySeneca.ca,33 Mccormick Pass,Toronto,ON,TRUE,Full Time,6
18,Jo-ann,Wimp,jwimph@mySeneca.ca,43790 Emmet Avenue,Toronto,ON,TRUE,Full Time,5
19,Ash,Hofler,ahofleri@mySeneca.ca,1 Cody Junction,Toronto,ON,TRUE,Full Time,5
